id,name,city,country,iata_code,lat,lng,links_count,objectID
901,"Birsa Munda",Ranchi,India,IXR,23.31425,85.321675,21,3063
902,Shymkent,Chimkent,Kazakhstan,CIT,42.364167,69.478889,21,2914
903,"George F L Charles",Castries,"Saint Lucia",SLU,14.020228,-60.992936,21,2893
904,"El Plumerillo",Mendoza,Argentina,MDZ,-32.831717,-68.792856,21,2452
905,"Prince Said Ibrahim",Moroni,Comoros,HAH,-11.533661,43.27185,20,912
906,Ndola,Ndola,Zambia,NLA,-12.998139,28.664944,20,910
907,"Unalakleet Airport",Unalakleet,"United States",UNK,63.888333,-160.798889,20,7088
908,"Jining Airport ",Jining,China,JNG,35.417,116.533,20,6944
909,"Hami Airport",Hami,China,HMI,42.8414,93.6692,20,6743
910,"La Rochelle-Ile de Re","La Rochelle",France,LRH,46.1792,-1.19528,20,6493
911,"Mt. Fuji Shizuoka Airport",Shizuoka,Japan,FSZ,34.796111,138.189444,20,6476
912,"Jiamusi Airport",Jiamusi,China,JMU,46.843394,130.465389,20,6411
913,"Korla Airport",Korla,China,KRL,41.6978,86.1289,20,6407
914,Alta,Alta,Norway,ALF,69.976111,23.371667,20,632
915,"Sulaymaniyah International Airport",Sulaymaniyah,Iraq,ISU,35.5608,45.3147,20,5952
916,Norwich,Norwich,"United Kingdom",NWI,52.675833,1.282778,20,547
917,Atyrau,Atyrau,Kazakhstan,GUW,47.121944,51.821389,20,4357
918,Mudanjiang,Mudanjiang,China,MDG,44.523889,129.568889,20,4334
919,Falconara,Ancona,Italy,AOI,43.616389,13.362222,20,4309
920,Yibin,Yibin,China,YBP,28.800278,104.544444,20,4110
921,"Monterey Peninsula",Monterey,"United States",MRY,36.587,-121.842944,20,3948
922,"Portland Intl Jetport",Portland,"United States",PWM,43.646161,-70.309281,20,3862
923,"Bellingham Intl",Bellingham,"United States",BLI,48.792694,-122.537528,20,3777
924,"Atlantic City Intl","Atlantic City","United States",ACY,39.457583,-74.577167,20,3524
925,Varanasi,Varanasi,India,VNS,25.452358,82.859342,20,3084
926,Gumrak,Volgograd,Russia,VOG,48.782528,44.345544,20,2967
927,Thyna,Sfax,Tunisia,SFA,34.717953,10.690972,20,295
928,"Arturo Michelena Intl",Valencia,Venezuela,VLN,10.149733,-67.9284,20,2868
929,"Rodriguez Ballon",Arequipa,Peru,AQP,-16.341072,-71.583083,20,2802
930,"Johan A Pengel Intl",Zandery,Suriname,PBM,5.452831,-55.187783,20,2773
931,"Ernesto Cortissoz",Barranquilla,Colombia,BAQ,10.889589,-74.780819,20,2710
932,"El Tepual Intl","Puerto Montt",Chile,PMC,-41.438886,-73.093953,20,2665
933,"Regional De Maringa Silvio Name Junior",Maringa,Brazil,MGF,-23.476392,-52.016406,20,2586
934,Iloilo,Iloilo,Philippines,ILO,10.713044,122.545297,20,2429
935,Hakodate,Hakodate,Japan,HKD,41.77,140.821944,20,2288
936,"Francisco C Ada Saipan Intl",Saipan,"Northern Mariana Islands",SPN,15.119003,145.729356,20,2244
937,Rasht,Rasht,Iran,RAS,37.325314,49.605817,20,2123
938,"Frank Pais Intl",Holguin,Cuba,HOG,20.785589,-76.315108,20,1910
939,"Torreon Intl",Torreon,Mexico,TRC,25.568278,-103.410583,20,1845
940,"General Francisco J Mujica Intl",Morelia,Mexico,MLM,19.849944,-101.0255,20,1821
941,"General Manuel Marquez De Leon Intl","La Paz",Mexico,LAP,24.072694,-110.362475,20,1816
942,"Casa De Campo Intl","La Romana","Dominican Republic",LRM,18.450711,-68.911833,20,1759
943,Trabzon,Trabzon,Turkey,TZX,40.995108,39.789728,20,1726
944,"Prince George","Prince George",Canada,YXS,53.889444,-122.678889,20,172
945,Mitilini,Mytilini,Greece,MJT,39.056667,26.598333,20,1469
946,Kalamata,Kalamata,Greece,KLX,37.068319,22.025525,20,1456
947,Salvaza,Carcassonne,France,CCF,43.215978,2.306317,20,1352
948,"Greater Moncton Intl",Moncton,Canada,YQM,46.112221,-64.678611,20,117
949,"Luxor Intl",Luxor,Egypt,LXR,25.671028,32.706583,20,1132
950,Angads,Oujda,Morocco,OUD,34.78715,-1.923986,20,1070
951,"Lubumbashi Intl",Lubumashi,"Congo (Kinshasa)",FBM,-11.591333,27.530889,20,1038
952,"Ndjamena Hassan Djamous",N'djamena,Chad,NDJ,12.133689,15.034019,19,999
953,"Osnova International Airport",Kharkov,Ukraine,HRK,49.924786,36.289986,19,6105
954,Maastricht,Maastricht,Netherlands,MST,50.911658,5.770144,19,582
955,"Wilkes Barre Scranton Intl",Scranton,"United States",AVP,41.338478,-75.723403,19,4286
956,"Rick Husband Amarillo Intl",Amarillo,"United States",AMA,35.219369,-101.705931,19,3840
957,"Lubbock Preston Smith Intl",Lubbock,"United States",LBB,33.663639,-101.822778,19,3829
958,"Jorge Wilsterman",Cochabamba,Bolivia,CBB,-17.421058,-66.177114,19,2759
959,"Diego Aracena Intl",Iquique,Chile,IQQ,-20.535222,-70.181275,19,2649
960,Babelthuap,Babelthuap,Palau,ROR,7.367303,134.544278,19,2256
961,Yenbo,Yenbo,"Saudi Arabia",YNB,24.144244,38.06335,19,2096
962,Kuujjuaq,Quujjuaq,Canada,YVP,58.096111,-68.426944,19,154
963,Nampula,Nampula,Mozambique,APL,-15.105611,39.2818,18,984
964,"Sir Seretse Khama Intl",Gaberone,Botswana,GBE,-24.555225,25.918208,18,881
965,"Port Elizabeth Intl","Port Elizabeth","South Africa",PLZ,-33.984919,25.617275,18,838
966,"Sohag International",Sohag,Egypt,HMB,26.341189,31.742983,18,8235
967,Nuuk,Godthaab,Greenland,GOH,64.190922,-51.678064,18,8
968,"Hatay Airport",Hatay,Turkey,HTY,36.362778,36.282222,18,7453
969,"Jing Gang Shan Airport","Ji An",China,JGS,26.8997,114.7375,18,6428
970,Evenes,Harstad/Narvik,Norway,EVE,68.4913,16.678108,18,641
971,"Dachuan Airport",Dazhou,China,DAX,31.3,107.5,18,6397
972,"Cheongju International Airport",Chongju,"South Korea",CJJ,36.7166,127.499119,18,6008
973,"Robin Hood Doncaster Sheffield Airport",Doncaster,Sheffield,DSA,0,53.474722,18,5562
974,"Upernavik Airport",Upernavik,Greenland,JUV,72.7902,-56.1306,18,5448
975,Blackpool,Blackpool,"United Kingdom",BLK,53.771667,-3.028611,18,514
976,Talagi,Arkhangelsk,Russia,ARH,64.360281,40.430167,18,4362
977,"Luoyang Airport",Luoyang,China,LYA,34.41,112.28,18,4148
978,"Rogue Valley Intl Medford",Medford,"United States",MFR,42.374228,-122.8735,18,4101
979,Appleton,Appleton,"United States",ATW,44.257526,-88.507576,18,4047
980,Gulfport-Biloxi,Gulfport,"United States",GPT,30.407278,-89.070111,18,4038
981,"Evansville Regional",Evansville,"United States",EVV,38.036997,-87.532364,18,4018
982,"Mobile Rgnl",Mobile,"United States",MOB,30.691231,-88.242814,18,3782
983,"Four Corners Rgnl",Farmington,"United States",FMN,36.74125,-108.229944,18,3743
984,"Newport News Williamsburg Intl","Newport News","United States",PHF,37.131894,-76.492989,18,3633
985,Saarbrucken,Saarbruecken,Germany,SCN,49.214553,7.109508,18,349
986,Hobart,Hobart,Australia,HBA,-42.836111,147.510278,18,3336
987,Sibu,Sibu,Malaysia,SBW,2.261603,111.985322,18,3267
988,Trichy,Tiruchirappalli,India,TRZ,10.765364,78.709722,18,3152
989,Chandigarh,Chandigarh,India,IXC,30.673469,76.788542,18,3089
990,Amritsar,Amritsar,India,ATQ,31.709594,74.797264,18,3081
991,Imphal,Imphal,India,IMF,24.75995,93.896697,18,3050
992,Syktyvkar,Syktyvkar,Russia,SCW,61.64705,50.84505,18,2989
993,Flamingo,Kralendijk,"Netherlands Antilles",BON,12.131044,-68.268511,18,2896
994,"Henry E Rohlsen","St. Croix Island","Virgin Islands",STX,17.701889,-64.798556,18,2884
995,"Governador Jorge Teixeira De Oliveira","Porto Velho",Brazil,PVH,-8.709294,-63.902281,18,2607
996,Ilheus,Ilheus,Brazil,IOS,-14.815964,-39.033197,18,2569
997,"Puerto Princesa","Puerto Princesa",Philippines,PPS,9.742119,118.758731,18,2433
